anio,mes,tipo_licencia,sexo,cantidad
2012,Diciembre,renovadas,FEMENINO,7874
2013,Enero,nuevas,MASCULINO,4067
2013,Enero,nuevas,FEMENINO,1751
2013,Enero,renovadas,MASCULINO,22258
2013,Enero,renovadas,FEMENINO,8134
2013,Febrero,nuevas,MASCULINO,2909
2013,Febrero,nuevas,FEMENINO,1441
2013,Febrero,renovadas,MASCULINO,16997
2013,Febrero,renovadas,FEMENINO,6835
2013,Marzo,nuevas,MASCULINO,3924
2013,Marzo,nuevas,FEMENINO,1920
2013,Marzo,renovadas,MASCULINO,20097
2013,Marzo,renovadas,FEMENINO,7985
2013,Abril,nuevas,MASCULINO,4114
2013,Abril,nuevas,FEMENINO,1928
2013,Abril,renovadas,MASCULINO,20284
2013,Abril,renovadas,FEMENINO,8108
2013,Mayo,nuevas,MASCULINO,4494
2013,Mayo,nuevas,FEMENINO,1989
2013,Mayo,renovadas,MASCULINO,22177
2013,Mayo,renovadas,FEMENINO,8949
2013,Junio,nuevas,MASCULINO,3797
2013,Junio,nuevas,FEMENINO,1696
2013,Junio,renovadas,MASCULINO,18740
2013,Junio,renovadas,FEMENINO,7335
2013,Julio,nuevas,MASCULINO,4448
2013,Julio,nuevas,FEMENINO,2121
2013,Julio,renovadas,MASCULINO,22590
2013,Julio,renovadas,FEMENINO,9214
2013,Agosto,nuevas,MASCULINO,3797
2013,Agosto,nuevas,FEMENINO,1907
2013,Agosto,renovadas,MASCULINO,19260
2013,Agosto,renovadas,FEMENINO,7573
2013,Septiembre,nuevas,MASCULINO,4225
2013,Septiembre,nuevas,FEMENINO,2023
2013,Septiembre,renovadas,MASCULINO,19664
2013,Septiembre,renovadas,FEMENINO,7540
2013,Octubre,nuevas,MASCULINO,4393
2013,Octubre,nuevas,FEMENINO,2011
2013,Octubre,renovadas,MASCULINO,21515
2013,Octubre,renovadas,FEMENINO,8011
2013,Noviembre,nuevas,MASCULINO,3564
2013,Noviembre,nuevas,FEMENINO,1611
2013,Noviembre,renovadas,MASCULINO,18696
2013,Noviembre,renovadas,FEMENINO,7277
2013,Diciembre,nuevas,MASCULINO,3579
2013,Diciembre,nuevas,FEMENINO,1811
2013,Diciembre,renovadas,MASCULINO,16526
2013,Diciembre,renovadas,FEMENINO,6230
2014,Enero,nuevas,MASCULINO,5159
2014,Enero,nuevas,FEMENINO,2167
2014,Enero,renovadas,MASCULINO,24666
2014,Enero,renovadas,FEMENINO,8867
2014,Febrero,nuevas,MASCULINO,4064
2014,Febrero,nuevas,FEMENINO,1980
2014,Febrero,renovadas,MASCULINO,17175
2014,Febrero,renovadas,FEMENINO,6470
2014,Marzo,nuevas,MASCULINO,3566
2014,Marzo,nuevas,FEMENINO,1828
2014,Marzo,renovadas,MASCULINO,16742
2014,Marzo,renovadas,FEMENINO,6158
2014,Abril,nuevas,MASCULINO,3995
2014,Abril,nuevas,FEMENINO,2031
2014,Abril,renovadas,MASCULINO,19319
2014,Abril,renovadas,FEMENINO,6965
2014,Mayo,nuevas,MASCULINO,4024
2014,Mayo,nuevas,FEMENINO,1884
2014,Mayo,renovadas,MASCULINO,20900
2014,Mayo,renovadas,FEMENINO,7660
2014,Junio,nuevas,MASCULINO,3637
2014,Junio,nuevas,FEMENINO,1695
2014,Junio,renovadas,MASCULINO,19773
2014,Junio,renovadas,FEMENINO,7535
2014,Julio,nuevas,MASCULINO,3859
2014,Julio,nuevas,FEMENINO,1688
2014,Julio,renovadas,MASCULINO,21051
2014,Julio,renovadas,FEMENINO,7813
2014,Agosto,nuevas,MASCULINO,3535
2014,Agosto,nuevas,FEMENINO,1703
2014,Agosto,renovadas,MASCULINO,20241
2014,Agosto,renovadas,FEMENINO,7569
2014,Septiembre,nuevas,MASCULINO,3770
2014,Septiembre,nuevas,FEMENINO,1758
2014,Septiembre,renovadas,MASCULINO,23933
2014,Septiembre,renovadas,FEMENINO,9195
2014,Octubre,nuevas,MASCULINO,3833
2014,Octubre,nuevas,FEMENINO,1599
2014,Octubre,renovadas,MASCULINO,24019
2014,Octubre,renovadas,FEMENINO,9442
2014,Noviembre,nuevas,MASCULINO,3675
2014,Noviembre,nuevas,FEMENINO,1598
2014,Noviembre,renovadas,MASCULINO,22649
2014,Noviembre,renovadas,FEMENINO,9030
2014,Diciembre,nuevas,MASCULINO,3959
2014,Diciembre,nuevas,FEMENINO,1896
